car_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
7965, 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0
7966, 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0
7967, 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0
7968, 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5
7969, 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0
7970, 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0
7971, 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0
7972, 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5
7973, 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0
7974, 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0
7975, X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0
7976, 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0
7977, X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0
7978, 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0
7979, X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0
7980, 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0
7981, 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0
7982, 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0
7983, 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5
7984, 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0
7985, 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0
7986, 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0
7987, 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0
7988, 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5
7989, 1 Series,2016,14300,Automatic,22461,Diesel,20,67.3,2.0
7990, 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5
7991, 3 Series,2019,17800,Automatic,22310,Diesel,145,64.2,2.0
7992, 3 Series,2016,14400,Automatic,51994,Diesel,30,62.8,2.0
7993, X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0
7994, X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0
7995, 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0
7996, X4,2017,23000,Automatic,34960,Diesel,150,54.3,2.0
7997, i3,2016,17100,Automatic,25269,Other,0,470.8,0.6
7998, 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0
7999, 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5
8000, 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5
8001, 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0
